Date,Channel,Installs
2014/4/27,Channel_09,20
2014/4/27,Channel_08,36
2014/4/27,Channel_15,14
2014/4/27,Channel_16,78
2014/4/27,Channel_10,181
2014/4/27,Channel_01,1505
2014/4/27,Channel_03,19
2014/4/28,Channel_13,26
2014/4/28,Channel_09,33
2014/4/28,Channel_08,31
2014/4/28,Channel_15,20
2014/4/28,Channel_16,105
2014/4/28,Channel_10,104
2014/4/28,Channel_01,1173
2014/4/28,Channel_03,31
2014/4/29,Channel_13,42
2014/4/29,Channel_09,12
2014/4/29,Channel_08,24
2014/4/29,Channel_16,469
2014/4/29,Channel_10,255
2014/4/29,Channel_01,1343
2014/4/29,Channel_03,24
2014/4/30,Channel_13,17
2014/4/30,Channel_14,3
2014/4/30,Channel_09,24
2014/4/30,Channel_08,26
2014/4/30,Channel_16,668
2014/4/30,Channel_10,76
2014/4/30,Channel_01,1142
2014/4/30,Channel_17,11
2014/4/30,Channel_03,29
2014/5/1,Channel_06,30
2014/5/1,Channel_09,5
2014/5/1,Channel_08,35
2014/5/1,Channel_15,8
2014/5/1,Channel_16,645
2014/5/1,Channel_10,64
2014/5/1,Channel_01,1015
2014/5/1,Channel_03,36
2014/5/2,Channel_06,39
2014/5/2,Channel_09,13
2014/5/2,Channel_08,44
2014/5/2,Channel_15,9
2014/5/2,Channel_16,607
2014/5/2,Channel_10,42
2014/5/2,Channel_01,1115
2014/5/2,Channel_03,27
2014/5/3,Channel_06,52
2014/5/3,Channel_09,8
2014/5/3,Channel_08,53
2014/5/3,Channel_15,15
2014/5/3,Channel_16,581
2014/5/3,Channel_10,37
2014/5/3,Channel_01,1231
2014/5/3,Channel_03,28
2014/5/4,Channel_06,29
2014/5/4,Channel_09,15
2014/5/4,Channel_08,47
2014/5/4,Channel_15,12
2014/5/4,Channel_16,548
2014/5/4,Channel_10,38
2014/5/4,Channel_01,1383
2014/5/4,Channel_03,35
2014/5/5,Channel_06,40
2014/5/5,Channel_09,11
2014/5/5,Channel_08,65
2014/5/5,Channel_15,18
2014/5/5,Channel_16,532
2014/5/5,Channel_10,57
